income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Whitehouse ISD,45600,2020-2024,Texas,89480.0,6864.0,WHITEHOUSE ISD,212906,Spring 2026,1876,1708.0,91.04477611940298,83.50345790511413,7.54131821428885,EOC,Over expected
Yoakum ISD,46620,2020-2024,Texas,53128.0,9736.0,YOAKUM ISD,062903,Spring 2026,507,432.0,85.20710059171599,77.69473137406158,7.51236921765441,EOC,Over expected
Longview ISD,28110,2020-2024,Texas,61669.0,3661.0,LONGVIEW ISD,092903,Spring 2026,3244,2805.0,86.46732429099877,79.05950726814498,7.407817022853791,EOC,Over expected
Gregory-Portland ISD,21780,2020-2024,Texas,82083.0,9503.0,GREGORY-PORTLAND ISD,205902,Spring 2026,1915,1718.0,89.71279373368147,82.3214830440282,7.391310689653267,EOC,Over expected
McGregor ISD,29820,2020-2024,Texas,86000.0,15518.0,MCGREGOR ISD,161909,Spring 2026,569,514.0,90.33391915641477,82.94738483270923,7.386534323705533,EOC,Over expected
Diboll ISD,17040,2020-2024,Texas,61559.0,9202.0,DIBOLL ISD,003905,Spring 2026,607,524.0,86.32619439868205,79.04193024574138,7.284264152940665,EOC,Over expected
Wimberley ISD,9,2020-2024,Texas,82389.0,14995.0,WIMBERLEY ISD,105905,Spring 2026,1158,1038.0,89.63730569948186,82.37037912453276,7.266926574949096,EOC,Over expected
San Diego ISD,38820,2020-2024,Texas,46771.0,13870.0,SAN DIEGO ISD,066902,Spring 2026,517,434.0,83.9458413926499,76.67893927024609,7.266902122403806,EOC,Over expected
Palmer ISD,34110,2020-2024,Texas,106652.0,16738.0,PALMER ISD,070910,Spring 2026,508,475.0,93.503937007874,86.24739089342933,7.256546114444674,EOC,Over expected
Nederland ISD,32280,2020-2024,Texas,77596.0,6633.0,NEDERLAND ISD,123905,Spring 2026,2016,1790.0,88.78968253968253,81.60450032107396,7.185182218608574,EOC,Over expected
Sabine ISD,38460,2020-2024,Texas,71563.0,13924.0,SABINE ISD,092906,Spring 2026,577,506.0,87.69497400346621,80.6404805377927,7.0544934656735165,EOC,Over expected
Tatum ISD,42240,2020-2024,Texas,82321.0,16718.0,TATUM ISD,201910,Spring 2026,543,485.0,89.31860036832413,82.35951332886509,6.959087039459035,EOC,Over expected
Brownsboro ISD,11640,2020-2024,Texas,63112.0,4510.0,BROWNSBORO ISD,107902,Spring 2026,1042,897.0,86.08445297504798,79.29008584385771,6.7943671311902705,EOC,Over expected
Calallen ISD,12420,2020-2024,Texas,83444.0,10250.0,CALALLEN ISD,178903,Spring 2026,1473,1315.0,89.27359131025119,82.5389587484946,6.734632561756598,EOC,Over expected
Hondo ISD,23430,2020-2024,Texas,64007.0,8794.0,HONDO ISD,163904,Spring 2026,707,609.0,86.13861386138613,79.43309888977792,6.70551497160821,EOC,Over expected
White Oak ISD,45480,2020-2024,Texas,100146.0,21840.0,WHITE OAK ISD,092908,Spring 2026,555,510.0,91.8918918918919,85.20778991381259,6.684101978079312,EOC,Over expected
Somerset ISD,40740,2020-2024,Texas,72176.0,8968.0,SOMERSET ISD,015909,Spring 2026,1674,1463.0,87.39545997610514,80.7384324899146,6.657027486190543,EOC,Over expected
Kerrville ISD,25590,2020-2024,Texas,65030.0,4507.0,KERRVILLE ISD,133903,Spring 2026,1616,1393.0,86.20049504950495,79.59656519813144,6.603929851373508,EOC,Over expected
Alamo Heights ISD,7590,2020-2024,Texas,100268.0,10037.0,ALAMO HEIGHTS ISD,015901,Spring 2026,2016,1851.0,91.8154761904762,85.22728442956931,6.588191760906895,EOC,Over expected
Farmersville ISD,19080,2020-2024,Texas,90154.0,16207.0,FARMERSVILLE ISD,043904,Spring 2026,1010,911.0,90.1980198019802,83.61115711511438,6.586862686865814,EOC,Over expected
Alice ISD,7800,2020-2024,Texas,49032.0,5774.0,ALICE ISD,125901,Spring 2026,1609,1341.0,83.34369173399627,77.04022697619651,6.303464757799759,EOC,Over expected
Eagle Pass ISD,17730,2020-2024,Texas,49568.0,4673.0,EAGLE PASS ISD,159901,Spring 2026,3578,2985.0,83.42649524874231,77.12587501263589,6.300620236106425,EOC,Over expected
Van Alstyne ISD,43890,2020-2024,Texas,112799.0,14947.0,VAN ALSTYNE ISD,091908,Spring 2026,1116,1043.0,93.45878136200716,87.22962686356522,6.229154498441943,EOC,Over expected
Fairfield ISD,18940,2020-2024,Texas,59727.0,7759.0,FAIRFIELD ISD,081902,Spring 2026,665,565.0,84.9624060150376,78.74919292716501,6.213213087872589,EOC,Over expected
Hamshire-Fannett ISD,22320,2020-2024,Texas,101541.0,10383.0,HAMSHIRE-FANNETT ISD,123914,Spring 2026,769,704.0,91.54746423927178,85.43069851611283,6.116765723158949,EOC,Over expected
Hurst-Euless-Bedford ISD,24060,2020-2024,Texas,82201.0,2569.0,HURST-EULESS-BEDFORD ISD,220916,Spring 2026,8699,7690.0,88.40096562823312,82.34033839533389,6.060627232899236,EOC,Over expected
Ingleside ISD,24180,2020-2024,Texas,70657.0,12652.0,INGLESIDE ISD,205903,Spring 2026,816,706.0,86.51960784313727,80.49570978963212,6.02389805350515,EOC,Over expected
Academy ISD,7470,2020-2024,Texas,95390.0,4391.0,ACADEMY ISD,014901,Spring 2026,689,623.0,90.42089985486211,84.4478233815259,5.973076473336221,EOC,Over expected
Lumberton ISD,13530,2020-2024,Texas,98812.0,9473.0,LUMBERTON ISD,100907,Spring 2026,1552,1411.0,90.91494845360825,84.99462856939071,5.920319884217534,EOC,Over expected
Eustace ISD,18720,2020-2024,Texas,59936.0,11793.0,EUSTACE ISD,107905,Spring 2026,698,591.0,84.67048710601719,78.78258926973186,5.887897836285333,EOC,Over expected
Boyd ISD,11010,2020-2024,Texas,73988.0,16846.0,BOYD ISD,249902,Spring 2026,586,509.0,86.86006825938567,81.02797398623576,5.832094273149906,EOC,Over expected
Socorro ISD,40710,2020-2024,Texas,74004.0,3095.0,SOCORRO ISD,071909,Spring 2026,19990,17322.0,86.65332666333167,81.03053064403993,5.622796019291741,EOC,Over expected
Tuloso-Midway ISD,43350,2020-2024,Texas,69700.0,5027.0,TULOSO-MIDWAY ISD,178912,Spring 2026,1470,1263.0,85.91836734693878,80.34278969472076,5.575577652218016,EOC,Over expected
Atlanta ISD,8880,2020-2024,Texas,64488.0,4848.0,ATLANTA ISD,034901,Spring 2026,654,556.0,85.01529051987767,79.5099584150155,5.505332104862163,EOC,Over expected
Lubbock-Cooper ISD,15180,2020-2024,Texas,109087.0,7884.0,LUBBOCK-COOPER ISD,152906,Spring 2026,3231,2977.0,92.1386567626122,86.636482253,5.502174509612203,EOC,Over expected
East Chambers ISD,17880,2020-2024,Texas,77331.0,16038.0,EAST CHAMBERS ISD,036903,Spring 2026,657,572.0,87.06240487062405,81.56215567619255,5.500249194431504,EOC,Over expected
Perryton ISD,34650,2020-2024,Texas,70671.0,9400.0,PERRYTON ISD,179901,Spring 2026,728,626.0,85.98901098901099,80.49794686521076,5.4910641238002285,EOC,Over expected
Harlingen CISD,22530,2020-2024,Texas,58146.0,3628.0,HARLINGEN CISD,031903,Spring 2026,6559,5508.0,83.97621588656807,78.4965631778914,5.479652708676667,EOC,Over expected
Kaufman ISD,25200,2020-2024,Texas,74438.0,16313.0,KAUFMAN ISD,129903,Spring 2026,1607,1389.0,86.43434971997512,81.09987998697778,5.334469732997334,EOC,Over expected
Center ISD,13320,2020-2024,Texas,51453.0,6111.0,CENTER ISD,210901,Spring 2026,864,715.0,82.75462962962963,77.42708126018854,5.3275483694410894,EOC,Over expected
Caldwell ISD,12460,2020-2024,Texas,69147.0,10079.0,CALDWELL ISD,026901,Spring 2026,700,599.0,85.57142857142857,80.25442520936447,5.317003362064099,EOC,Over expected
Hardin-Jefferson ISD,22410,2020-2024,Texas,97988.0,7387.0,HARDIN-JEFFERSON ISD,100905,Spring 2026,1007,908.0,90.16881827209534,84.86296069247645,5.305857579618888,EOC,Over expected
Orangefield ISD,33780,2020-2024,Texas,84639.0,18127.0,ORANGEFIELD ISD,181905,Spring 2026,623,548.0,87.96147672552166,82.72990912824284,5.231567597278826,EOC,Over expected
Whitesboro ISD,45630,2020-2024,Texas,81496.0,9392.0,WHITESBORO ISD,091909,Spring 2026,661,578.0,87.44326777609682,82.22768566083806,5.215582115258755,EOC,Over expected
La Grange ISD,26100,2020-2024,Texas,75534.0,5301.0,LA GRANGE ISD,075902,Spring 2026,794,686.0,86.39798488664987,81.27501104656278,5.122973840087084,EOC,Over expected
Devine ISD,16950,2020-2024,Texas,61544.0,9548.0,DEVINE ISD,163901,Spring 2026,753,633.0,84.06374501992032,79.03953337904998,5.024211640870334,EOC,Over expected
Wylie ISD (Taylor County),46500,2020-2024,Texas,114484.0,7885.0,WYLIE ISD,221912,Spring 2026,2136,1976.0,92.50936329588016,87.49887488856587,5.010488407314298,EOC,Over expected
