income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,is_sa_area
Clyde CISD,14450,2020-2024,Texas,78981.0,11435.0,CLYDE CISD,030902,Spring 2026,1894.0,1529.0,80.72861668426611,False
Coahoma ISD,14490,2020-2024,Texas,65128.0,21120.0,COAHOMA ISD,114902,Spring 2026,1416.0,1074.0,75.84745762711864,False
Coldspring-Oakhurst CISD,14520,2020-2024,Texas,58972.0,7426.0,COLDSPRING-OAKHURST CISD,204901,Spring 2026,1971.0,1225.0,62.15119228817859,False
Coleman ISD,14550,2020-2024,Texas,47386.0,11931.0,COLEMAN ISD,042901,Spring 2026,943.0,710.0,75.2916224814422,False
College Station ISD,7350,2020-2024,Texas,54117.0,3269.0,COLLEGE STATION ISD,021901,Spring 2026,18377.0,14846.0,80.78576481471404,False
Collinsville ISD,14580,2020-2024,Texas,68418.0,13863.0,COLLINSVILLE ISD,091902,Spring 2026,867.0,703.0,81.08419838523645,False
Colmesneil ISD,14600,2020-2024,Texas,56591.0,12356.0,COLMESNEIL ISD,229901,Spring 2026,544.0,404.0,74.26470588235294,False
Colorado ISD,14640,2020-2024,Texas,68934.0,14008.0,COLORADO ISD,168901,Spring 2026,1126.0,791.0,70.24866785079928,False
Columbia-Brazoria ISD,14670,2020-2024,Texas,74550.0,7909.0,COLUMBIA-BRAZORIA ISD,020907,Spring 2026,4078.0,2796.0,68.563021088769,False
Columbus ISD,14700,2020-2024,Texas,69875.0,17972.0,COLUMBUS ISD,045902,Spring 2026,2067.0,1475.0,71.35945815191099,False
Comal ISD,14730,2020-2024,Texas,110926.0,3282.0,COMAL ISD,046902,Spring 2026,41250.0,34615.0,83.91515151515152,True
Comanche ISD,14760,2020-2024,Texas,57986.0,8809.0,COMANCHE ISD,047901,Spring 2026,1664.0,1271.0,76.38221153846155,False
