income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Needville ISD,32310,2020-2024,Texas,92120.0,18264.0,NEEDVILLE ISD,079906,Spring 2026,3641.0,3114.0,85.52595440812964,73.74490548965403,11.781048918475605,Elementary/middle,Over expected
Eustace ISD,18720,2020-2024,Texas,59936.0,11793.0,EUSTACE ISD,107905,Spring 2026,1600.0,1266.0,79.125,67.42795047488397,11.697049525116029,Elementary/middle,Over expected
Santo ISD,39390,2020-2024,Texas,99825.0,7205.0,SANTO ISD,182904,Spring 2026,589.0,511.0,86.75721561969439,75.25721404013885,11.500001579555544,Elementary/middle,Over expected
Prairiland ISD,35740,2020-2024,Texas,67806.0,10727.0,PRAIRILAND ISD,139912,Spring 2026,1066.0,857.0,80.39399624765478,68.97264460756605,11.42135164008873,Elementary/middle,Over expected
Pleasant Grove ISD,35130,2020-2024,Texas,93968.0,11512.0,PLEASANT GROVE ISD,019912,Spring 2026,2201.0,1882.0,85.50658791458427,74.10762401026349,11.39896390432078,Elementary/middle,Over expected
Crawford ISD,15600,2020-2024,Texas,109931.0,21920.0,CRAWFORD ISD,161901,Spring 2026,598.0,530.0,88.62876254180601,77.24078188065793,11.387980661148077,Elementary/middle,Over expected
New Waverly ISD,32640,2020-2024,Texas,58813.0,9958.0,NEW WAVERLY ISD,236901,Spring 2026,1033.0,810.0,78.41239109390126,67.20753223968677,11.204858854214493,Elementary/middle,Over expected
Lindale ISD,27510,2020-2024,Texas,92838.0,11899.0,LINDALE ISD,212903,Spring 2026,4398.0,3733.0,84.87949067758072,73.8858318412761,10.993658836304618,Elementary/middle,Over expected
Ingram ISD,24210,2020-2024,Texas,71556.0,13445.0,INGRAM ISD,133904,Spring 2026,1093.0,882.0,80.69533394327539,69.708680566595,10.98665337668038,Elementary/middle,Over expected
Buffalo ISD,11990,2020-2024,Texas,46944.0,8666.0,BUFFALO ISD,145901,Spring 2026,852.0,646.0,75.82159624413146,64.8779293602962,10.943666883835249,Elementary/middle,Over expected
Riesel ISD,37110,2020-2024,Texas,78071.0,9716.0,RIESEL ISD,161912,Spring 2026,607.0,497.0,81.87808896210873,70.98742037274798,10.890668589360757,Elementary/middle,Over expected
Holland ISD,23370,2020-2024,Texas,84063.0,22605.0,HOLLAND ISD,014905,Spring 2026,677.0,562.0,83.01329394387001,72.16350769714836,10.84978624672165,Elementary/middle,Over expected
McAllen ISD,29670,2020-2024,Texas,58719.0,2738.0,MCALLEN ISD,108906,Spring 2026,16947.0,13225.0,78.0374107511654,67.18908227164711,10.848328479518287,Elementary/middle,Over expected
Keene ISD,25230,2020-2024,Texas,53352.0,14140.0,KEENE ISD,126906,Spring 2026,1013.0,779.0,76.90029615004936,66.13566760708487,10.764628542964488,Elementary/middle,Over expected
Laredo ISD,26790,2020-2024,Texas,39329.0,2198.0,LAREDO ISD,240901,Spring 2026,16762.0,12416.0,74.07230640734997,63.38328567282809,10.689020734521883,Elementary/middle,Over expected
Frankston ISD,19770,2020-2024,Texas,72234.0,15445.0,FRANKSTON ISD,001904,Spring 2026,693.0,558.0,80.51948051948052,69.84175586798744,10.67772465149308,Elementary/middle,Over expected
Leonard ISD,27210,2020-2024,Texas,62324.0,7263.0,LEONARD ISD,074909,Spring 2026,777.0,610.0,78.5070785070785,67.89665817359361,10.610420333484896,Elementary/middle,Over expected
College Station ISD,7350,2020-2024,Texas,54117.0,3269.0,COLLEGE STATION ISD,021901,Spring 2026,12764.0,9815.0,76.89595738013162,66.28581894272678,10.610138437404842,Elementary/middle,Over expected
Whitehouse ISD,45600,2020-2024,Texas,89480.0,6864.0,WHITEHOUSE ISD,212906,Spring 2026,4688.0,3929.0,83.80972696245735,73.22673617449765,10.582990787959702,Elementary/middle,Over expected
West ISD,45040,2020-2024,Texas,86437.0,11967.0,WEST ISD,161916,Spring 2026,1226.0,1020.0,83.19738988580751,72.62946752827762,10.567922357529895,Elementary/middle,Over expected
Shallowater ISD,39870,2020-2024,Texas,87250.0,19402.0,SHALLOWATER ISD,152909,Spring 2026,1640.0,1366.0,83.29268292682926,72.7890401241951,10.503642802634161,Elementary/middle,Over expected
Whitewright ISD,45670,2020-2024,Texas,68385.0,14151.0,WHITEWRIGHT ISD,091910,Spring 2026,762.0,606.0,79.52755905511812,69.08628855964012,10.441270495477994,Elementary/middle,Over expected
Teague ISD,42300,2020-2024,Texas,59173.0,7300.0,TEAGUE ISD,081904,Spring 2026,1094.0,850.0,77.6965265082267,67.27819169175355,10.418334816473148,Elementary/middle,Over expected
Early ISD,17790,2020-2024,Texas,77661.0,19935.0,EARLY ISD,025909,Spring 2026,957.0,777.0,81.19122257053291,70.90694710789414,10.284275462638774,Elementary/middle,Over expected
Thrall ISD,42660,2020-2024,Texas,110457.0,32068.0,THRALL ISD,246912,Spring 2026,881.0,771.0,87.51418842224744,77.34402319117773,10.170165231069717,Elementary/middle,Over expected
Danbury ISD,16290,2020-2024,Texas,107176.0,25749.0,DANBURY ISD,020904,Spring 2026,613.0,532.0,86.7862969004894,76.70004079609133,10.086256104398075,Elementary/middle,Over expected
Harper ISD,22590,2020-2024,Texas,80143.0,20962.0,HARPER ISD,086902,Spring 2026,585.0,476.0,81.36752136752136,71.39410477464344,9.973416592877925,Elementary/middle,Over expected
Mount Vernon ISD,31770,2020-2024,Texas,73614.0,9005.0,MOUNT VERNON ISD,080901,Spring 2026,1410.0,1128.0,80.0,70.1126171009101,9.8873828990899,Elementary/middle,Over expected
Orange Grove ISD,33720,2020-2024,Texas,64638.0,15844.0,ORANGE GROVE ISD,125903,Spring 2026,1481.0,1158.0,78.19041188386225,68.3508414293784,9.839570454483848,Elementary/middle,Over expected
Quitman ISD,36300,2020-2024,Texas,57708.0,7974.0,QUITMAN ISD,250904,Spring 2026,1185.0,909.0,76.70886075949367,66.99064697709291,9.718213782400767,Elementary/middle,Over expected
Burton ISD,12240,2020-2024,Texas,101392.0,17888.0,BURTON ISD,239903,Spring 2026,600.0,511.0,85.16666666666667,75.56477893288508,9.601887733781595,Elementary/middle,Over expected
Wimberley ISD,9,2020-2024,Texas,82389.0,14995.0,WIMBERLEY ISD,105905,Spring 2026,2432.0,1979.0,81.3733552631579,71.83494124503784,9.538414018120065,Elementary/middle,Over expected
Gilmer ISD,20700,2020-2024,Texas,52688.0,4955.0,GILMER ISD,230902,Spring 2026,2673.0,2019.0,75.5331088664422,66.00534017327281,9.527768693169392,Elementary/middle,Over expected
Childress ISD,13860,2020-2024,Texas,58750.0,16788.0,CHILDRESS ISD,038901,Spring 2026,817.0,626.0,76.6217870257038,67.19516683557508,9.426620190128716,Elementary/middle,Over expected
Socorro ISD,40710,2020-2024,Texas,74004.0,3095.0,SOCORRO ISD,071909,Spring 2026,37750.0,30045.0,79.58940397350993,70.18916484064911,9.400239132860818,Elementary/middle,Over expected
Barbers Hill ISD,9450,2020-2024,Texas,128353.0,14741.0,BARBERS HILL ISD,036902,Spring 2026,7649.0,6891.0,90.09020787030984,80.85658306391962,9.233624806390225,Elementary/middle,Over expected
Harleton ISD,22500,2020-2024,Texas,55592.0,31444.0,HARLETON ISD,102905,Spring 2026,715.0,542.0,75.8041958041958,66.57532641994483,9.22886938425097,Elementary/middle,Over expected
Hooks ISD,23490,2020-2024,Texas,57978.0,10209.0,HOOKS ISD,019902,Spring 2026,768.0,585.0,76.171875,67.04364156614298,9.12823343385702,Elementary/middle,Over expected
Fort Sam Houston ISD,20160,2020-2024,Texas,100662.0,21360.0,FT SAM HOUSTON ISD,015914,Spring 2026,1391.0,1176.0,84.54349388928829,75.42149726619411,9.121996623094176,Elementary/middle,Over expected
Tahoka ISD,42090,2020-2024,Texas,61776.0,21040.0,TAHOKA ISD,153904,Spring 2026,562.0,432.0,76.86832740213522,67.78909878544751,9.079228616687715,Elementary/middle,Over expected
Cayuga ISD,13200,2020-2024,Texas,73966.0,10601.0,CAYUGA ISD,001902,Spring 2026,530.0,420.0,79.24528301886792,70.18170634293095,9.063576675936972,Elementary/middle,Over expected
Madisonville CISD,28710,2020-2024,Texas,69704.0,6467.0,MADISONVILLE CISD,154901,Spring 2026,2087.0,1636.0,78.39003354096789,69.34517694096257,9.044856600005318,Elementary/middle,Over expected
Lorena ISD,28200,2020-2024,Texas,104000.0,13129.0,LORENA ISD,161907,Spring 2026,1743.0,1483.0,85.08318990246701,76.07666740785774,9.006522494609271,Elementary/middle,Over expected
Harlingen CISD,22530,2020-2024,Texas,58146.0,3628.0,HARLINGEN CISD,031903,Spring 2026,13952.0,10610.0,76.04644495412845,67.07661597710748,8.969828977020967,Elementary/middle,Over expected
Skidmore-Tynan ISD,40410,2020-2024,Texas,49549.0,22423.0,SKIDMORE-TYNAN ISD,013905,Spring 2026,754.0,560.0,74.27055702917772,65.38922900650165,8.881328022676072,Elementary/middle,Over expected
Collinsville ISD,14580,2020-2024,Texas,68418.0,13863.0,COLLINSVILLE ISD,091902,Spring 2026,648.0,505.0,77.9320987654321,69.09276567607958,8.839333089352522,Elementary/middle,Over expected
Redwater ISD,36750,2020-2024,Texas,76250.0,20924.0,REDWATER ISD,019906,Spring 2026,1036.0,823.0,79.44015444015444,70.63000131104351,8.81015312911093,Elementary/middle,Over expected
Troup ISD,43230,2020-2024,Texas,69302.0,12533.0,TROUP ISD,212904,Spring 2026,1026.0,801.0,78.0701754385965,69.26627388615468,8.803901552441815,Elementary/middle,Over expected
Hamilton ISD,22230,2020-2024,Texas,50446.0,7824.0,HAMILTON ISD,097902,Spring 2026,780.0,580.0,74.35897435897436,65.56528880790137,8.793685551072997,Elementary/middle,Over expected
Iola ISD,24240,2020-2024,Texas,67781.0,10212.0,IOLA ISD,093903,Spring 2026,620.0,482.0,77.74193548387098,68.96773770117254,8.774197782698437,Elementary/middle,Over expected
New Diana ISD,32460,2020-2024,Texas,92632.0,25528.0,NEW DIANA ISD,230906,Spring 2026,1149.0,949.0,82.5935596170583,73.84539893259344,8.748160684464864,Elementary/middle,Over expected
Rio Grande City Grulla ISD,37140,2020-2024,Texas,42795.0,3412.0,RIO GRANDE CITY GRULLA ISD,214901,Spring 2026,8017.0,5822.0,72.62068105276288,64.06357917522658,8.557101877536297,Elementary/middle,Over expected
Rivercrest ISD,42120,2020-2024,Texas,51667.0,5613.0,RIVERCREST ISD,194903,Spring 2026,635.0,470.0,74.01574803149606,65.8049421161612,8.21080591533486,Elementary/middle,Over expected
Clifton ISD,14400,2020-2024,Texas,74107.0,5334.0,CLIFTON ISD,018901,Spring 2026,857.0,672.0,78.41306884480747,70.20938129499044,8.203687549817033,Elementary/middle,Over expected
Valley View ISD (Hidalgo County),43800,2020-2024,Texas,60951.0,6120.0,VALLEY VIEW ISD,108916,Spring 2026,2858.0,2165.0,75.75227431770469,67.62717087446114,8.125103443243546,Elementary/middle,Over expected
Abernathy ISD,7410,2020-2024,Texas,83073.0,12492.0,ABERNATHY ISD,095901,Spring 2026,807.0,646.0,80.04956629491944,71.96919420396472,8.080372090954725,Elementary/middle,Over expected
New Summerfield ISD,32610,2020-2024,Texas,70139.0,33824.0,NEW SUMMERFIELD ISD,037908,Spring 2026,506.0,392.0,77.4703557312253,69.43055711220994,8.039798619015357,Elementary/middle,Over expected
Alba-Golden ISD,7650,2020-2024,Texas,66000.0,14631.0,ALBA-GOLDEN ISD,250906,Spring 2026,724.0,555.0,76.65745856353591,68.61816968969772,8.039288873838188,Elementary/middle,Over expected
Yorktown ISD,46650,2020-2024,Texas,61480.0,15495.0,YORKTOWN ISD,062904,Spring 2026,520.0,394.0,75.76923076923077,67.73100101374816,8.038229755482618,Elementary/middle,Over expected
Alamo Heights ISD,7590,2020-2024,Texas,100268.0,10037.0,ALAMO HEIGHTS ISD,015901,Spring 2026,4302.0,3587.0,83.37982333798233,75.34416442143214,8.03565891655019,Elementary/middle,Over expected
Glen Rose ISD,20850,2020-2024,Texas,82353.0,23559.0,GLEN ROSE ISD,213901,Spring 2026,2006.0,1602.0,79.86041874376869,71.82787529983116,8.032543443937527,Elementary/middle,Over expected
Malakoff ISD,28780,2020-2024,Texas,68269.0,8885.0,MALAKOFF ISD,107906,Spring 2026,1416.0,1091.0,77.04802259887006,69.06352051397417,7.984502084895894,Elementary/middle,Over expected
Stamford ISD,41400,2020-2024,Texas,47688.0,4024.0,STAMFORD ISD,127906,Spring 2026,546.0,398.0,72.89377289377289,65.02395889456756,7.869813999205334,Elementary/middle,Over expected
New Home ISD,32490,2020-2024,Texas,101520.0,3486.0,NEW HOME ISD,153905,Spring 2026,668.0,557.0,83.38323353293413,75.58990229361993,7.793331239314199,Elementary/middle,Over expected
Brady ISD,11110,2020-2024,Texas,54492.0,18088.0,BRADY ISD,160901,Spring 2026,793.0,588.0,74.14880201765448,66.35942253862967,7.789379479024802,Elementary/middle,Over expected
Anderson-Shiro CISD,8230,2020-2024,Texas,99063.0,33249.0,ANDERSON-SHIRO CISD,093901,Spring 2026,947.0,785.0,82.89334741288279,75.10765153326416,7.785695879618629,Elementary/middle,Over expected
Mineola ISD,30930,2020-2024,Texas,59063.0,7325.0,MINEOLA ISD,250903,Spring 2026,1748.0,1310.0,74.94279176201373,67.25660130362203,7.6861904583916925,Elementary/middle,Over expected
Bullard ISD,12060,2020-2024,Texas,91949.0,13990.0,BULLARD ISD,212902,Spring 2026,2788.0,2268.0,81.34863701578192,73.71134224992231,7.6372947658596075,Elementary/middle,Over expected
Chisum ISD,12,2020-2024,Texas,105000.0,31854.0,CHISUM ISD,139905,Spring 2026,1103.0,924.0,83.77153218495013,76.2729436635988,7.498588521351337,Elementary/middle,Over expected
Brownsville ISD,11680,2020-2024,Texas,48874.0,1923.0,BROWNSVILLE ISD,031901,Spring 2026,27576.0,20063.0,72.75529445894982,65.25674253387643,7.498551925073386,Elementary/middle,Over expected
Rusk ISD,38360,2020-2024,Texas,67303.0,9957.0,RUSK ISD,037907,Spring 2026,1849.0,1412.0,76.36560302866414,68.8739176509283,7.491685377735834,Elementary/middle,Over expected
Brownwood ISD,11700,2020-2024,Texas,51765.0,8092.0,BROWNWOOD ISD,025902,Spring 2026,2990.0,2191.0,73.27759197324414,65.82417718922382,7.453414784020325,Elementary/middle,Over expected
Eastland ISD,17960,2020-2024,Texas,56948.0,14498.0,EASTLAND ISD,067903,Spring 2026,879.0,653.0,74.28896473265074,66.8414770227297,7.447487709921035,Elementary/middle,Over expected
Wylie ISD (Taylor County),46500,2020-2024,Texas,114484.0,7885.0,WYLIE ISD,221912,Spring 2026,5517.0,4716.0,85.48123980424144,78.13442767304694,7.346812131194497,Elementary/middle,Over expected
Galena Park ISD,20250,2020-2024,Texas,57350.0,5533.0,GALENA PARK ISD,101910,Spring 2026,17897.0,13288.0,74.24708051628764,66.9203800775376,7.326700438750038,Elementary/middle,Over expected
East Bernard ISD,17830,2020-2024,Texas,96250.0,24123.0,EAST BERNARD ISD,241902,Spring 2026,949.0,777.0,81.87565858798736,74.55552642586457,7.320132162122789,Elementary/middle,Over expected
Eagle Pass ISD,17730,2020-2024,Texas,49568.0,4673.0,EAGLE PASS ISD,159901,Spring 2026,12491.0,9079.0,72.68433271955809,65.39295825536072,7.291374464197361,Elementary/middle,Over expected
Hurst-Euless-Bedford ISD,24060,2020-2024,Texas,82201.0,2569.0,HURST-EULESS-BEDFORD ISD,220916,Spring 2026,21489.0,16983.0,79.03113220717577,71.79804130895852,7.233090898217256,Elementary/middle,Over expected
Lindsay ISD,27570,2020-2024,Texas,104423.0,20922.0,LINDSAY ISD,049907,Spring 2026,530.0,441.0,83.20754716981132,76.15969226403621,7.047854905775111,Elementary/middle,Over expected
