income_district,district_code,year,state,median_household_income,income_moe,staar_district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct,predicted_approaches_pct,residual,test_group,performance_category
Alice ISD,7800,2020-2024,Texas,49032.0,5774.0,ALICE ISD,125901,Spring 2026,3816.0,2570.0,67.34800838574424,65.28775418228352,2.0602542034607154,Elementary/middle,About expected
Navarro ISD,32160,2020-2024,Texas,98125.0,12252.0,NAVARRO ISD,094903,Spring 2026,3063.0,2357.0,76.95070192621613,74.92354440537906,2.027157520837065,Elementary/middle,About expected
Lubbock ISD,28500,2020-2024,Texas,53614.0,2024.0,LUBBOCK ISD,152901,Spring 2026,20031.0,13645.0,68.11941490689432,66.18709198608903,1.9323229208052908,Elementary/middle,About expected
Hardin-Jefferson ISD,22410,2020-2024,Texas,97988.0,7387.0,HARDIN-JEFFERSON ISD,100905,Spring 2026,2731.0,2098.0,76.82167704137679,74.89665455834253,1.9250224830342546,Elementary/middle,About expected
Boling ISD,10780,2020-2024,Texas,67866.0,8005.0,BOLING ISD,241901,Spring 2026,1058.0,750.0,70.88846880907373,68.98442118291052,1.904047626163205,Elementary/middle,About expected
Dumas ISD,17610,2020-2024,Texas,61618.0,4735.0,DUMAS ISD,171901,Spring 2026,3993.0,2781.0,69.64688204357627,67.75808713704042,1.8887949065358498,Elementary/middle,About expected
Nixon-Smiley CISD,32740,2020-2024,Texas,54932.0,12590.0,NIXON-SMILEY CISD,089903,Spring 2026,851.0,581.0,68.2726204465335,66.44578409115574,1.8268363553777505,Elementary/middle,About expected
Rogers ISD,37710,2020-2024,Texas,82414.0,26415.0,ROGERS ISD,014907,Spring 2026,805.0,593.0,73.66459627329192,71.83984815143137,1.8247481218605515,Elementary/middle,About expected
Whitesboro ISD,45630,2020-2024,Texas,81496.0,9392.0,WHITESBORO ISD,091909,Spring 2026,1732.0,1272.0,73.44110854503464,71.65966654866108,1.7814419963735588,Elementary/middle,About expected
Mission CISD,31040,2020-2024,Texas,51194.0,3110.0,MISSION CISD,108908,Spring 2026,11382.0,7661.0,67.30803022315938,65.71210344719569,1.5959267759636901,Elementary/middle,About expected
Odem-Edroy ISD,33360,2020-2024,Texas,71397.0,16523.0,ODEM-EDROY ISD,205905,Spring 2026,825.0,588.0,71.27272727272728,69.67747264193218,1.5952546307950968,Elementary/middle,About expected
North East ISD,32940,2020-2024,Texas,79074.0,1581.0,NORTH EAST ISD,015910,Spring 2026,48677.0,35413.0,72.75099122788997,71.18428545725625,1.5667057706337175,Elementary/middle,About expected
China Spring ISD,13960,2020-2024,Texas,104931.0,9325.0,CHINA SPRING ISD,161920,Spring 2026,2948.0,2293.0,77.78154681139756,76.25940060195266,1.522146209444898,Elementary/middle,About expected
Rockwall ISD,37650,2020-2024,Texas,128088.0,5657.0,ROCKWALL ISD,199901,Spring 2026,17792.0,14645.0,82.31227517985612,80.80456985614823,1.5077053237078815,Elementary/middle,About expected
New Boston ISD,32340,2020-2024,Texas,67729.0,8958.0,NEW BOSTON ISD,019905,Spring 2026,968.0,682.0,70.45454545454545,68.957531335874,1.4970141186714585,Elementary/middle,About expected
Caldwell ISD,12460,2020-2024,Texas,69147.0,10079.0,CALDWELL ISD,026901,Spring 2026,1754.0,1240.0,70.69555302166476,69.23585106651481,1.4597019551499528,Elementary/middle,About expected
Elkhart ISD,18390,2020-2024,Texas,70759.0,6212.0,ELKHART ISD,001903,Spring 2026,1117.0,793.0,70.99373321396598,69.55224839076939,1.441484823196589,Elementary/middle,About expected
Centerville ISD (Leon County),13410,2020-2024,Texas,72083.0,9527.0,CENTERVILLE ISD,145902,Spring 2026,643.0,458.0,71.22861586314151,69.81211815337055,1.4164977097709652,Elementary/middle,About expected
Calhoun County ISD,12480,2020-2024,Texas,79959.0,8800.0,CALHOUN COUNTY ISD,029901,Spring 2026,3082.0,2242.0,72.74497079818299,71.35798994358709,1.3869808545959046,Elementary/middle,About expected
Lyford CISD,28620,2020-2024,Texas,43954.0,18061.0,LYFORD CISD,245902,Spring 2026,1124.0,738.0,65.65836298932385,64.29106335563046,1.367299633693392,Elementary/middle,About expected
Luling ISD,28590,2020-2024,Texas,58684.0,5407.0,LULING ISD,028903,Spring 2026,1383.0,948.0,68.54663774403471,67.18221260269617,1.3644251413385433,Elementary/middle,About expected
La Vernia ISD,26310,2020-2024,Texas,115669.0,9735.0,LA VERNIA ISD,247903,Spring 2026,3462.0,2759.0,79.69381860196418,78.3670150361001,1.3268035658640827,Elementary/middle,About expected
Lake Travis ISD,26470,2020-2024,Texas,156087.0,14563.0,LAKE TRAVIS ISD,227913,Spring 2026,10501.0,9197.0,87.5821350347586,86.30010874064199,1.282026294116605,Elementary/middle,About expected
Van ISD,43920,2020-2024,Texas,68605.0,7115.0,VAN ISD,234906,Spring 2026,2114.0,1487.0,70.34058656575213,69.12946933590317,1.2111172298489663,Elementary/middle,About expected
Southside ISD,40920,2020-2024,Texas,63269.0,6564.0,SOUTHSIDE ISD,015917,Spring 2026,5225.0,3619.0,69.26315789473684,68.0821392352689,1.181018659467938,Elementary/middle,About expected
Sweeny ISD,41970,2020-2024,Texas,74896.0,18561.0,SWEENY ISD,020906,Spring 2026,1608.0,1150.0,71.51741293532339,70.36424326077012,1.1531696745532685,Elementary/middle,About expected
Spearman ISD,41010,2020-2024,Texas,68902.0,12505.0,SPEARMAN ISD,098904,Spring 2026,627.0,441.0,70.33492822966507,69.18776338385825,1.147164845806813,Elementary/middle,About expected
Van Alstyne ISD,43890,2020-2024,Texas,112799.0,14947.0,VAN ALSTYNE ISD,091908,Spring 2026,2792.0,2204.0,78.93982808022922,77.80370218212327,1.136125898105945,Elementary/middle,About expected
Cypress-Fairbanks ISD,16110,2020-2024,Texas,92879.0,1658.0,CYPRESS-FAIRBANKS ISD,101907,Spring 2026,104222.0,78172.0,75.00527719675308,73.8938791677615,1.1113980289915872,Elementary/middle,About expected
Hawkins ISD,22770,2020-2024,Texas,55224.0,13130.0,HAWKINS ISD,250902,Spring 2026,756.0,511.0,67.5925925925926,66.50309675783213,1.08949583476047,Elementary/middle,About expected
Livingston ISD,27780,2020-2024,Texas,63607.0,6529.0,LIVINGSTON ISD,187907,Spring 2026,3944.0,2725.0,69.0922920892495,68.14848060970938,0.9438114795401162,Elementary/middle,About expected
Sinton ISD,40350,2020-2024,Texas,52984.0,10901.0,SINTON ISD,205906,Spring 2026,1879.0,1257.0,66.897285790314,66.06343794497216,0.8338478453418361,Elementary/middle,About expected
Kountze ISD,25920,2020-2024,Texas,65136.0,10107.0,KOUNTZE ISD,100903,Spring 2026,1124.0,778.0,69.21708185053382,68.44858700473745,0.7684948457963685,Elementary/middle,About expected
Van Vleck ISD,43950,2020-2024,Texas,61742.0,14843.0,VAN VLECK ISD,158906,Spring 2026,1014.0,694.0,68.44181459566076,67.78242539275232,0.6593892029084429,Elementary/middle,About expected
Alvin ISD,8090,2020-2024,Texas,107257.0,7261.0,ALVIN ISD,020901,Spring 2026,28032.0,21683.0,77.35088470319634,76.71593917280634,0.6349455303899987,Elementary/middle,About expected
Blooming Grove ISD,10470,2020-2024,Texas,66750.0,15651.0,BLOOMING GROVE ISD,175902,Spring 2026,928.0,644.0,69.39655172413794,68.7653768815035,0.6311748426344366,Elementary/middle,About expected
Newton ISD,32730,2020-2024,Texas,39682.0,7808.0,NEWTON ISD,176902,Spring 2026,896.0,574.0,64.0625,63.452571191104674,0.6099288088953259,Elementary/middle,About expected
Arp ISD,8730,2020-2024,Texas,69900.0,17593.0,ARP ISD,212901,Spring 2026,873.0,611.0,69.9885452462772,69.38364708708782,0.604898159189375,Elementary/middle,About expected
Santa Fe ISD,39270,2020-2024,Texas,96117.0,13564.0,SANTA FE ISD,084909,Spring 2026,3986.0,2994.0,75.11289513296538,74.52942168385101,0.5834734491143649,Elementary/middle,About expected
Fort Bend ISD,19650,2020-2024,Texas,105638.0,3226.0,FORT BEND ISD,079907,Spring 2026,71683.0,55180.0,76.97780505838205,76.39816791476159,0.5796371436204595,Elementary/middle,About expected
Dallas ISD,16230,2020-2024,Texas,70951.0,944.0,DALLAS ISD,057905,Spring 2026,111654.0,78334.0,70.15780894549233,69.58993343187167,0.5678755136206632,Elementary/middle,About expected
Chilton ISD,13920,2020-2024,Texas,67120.0,14757.0,CHILTON ISD,073901,Spring 2026,541.0,375.0,69.31608133086876,68.8379990961277,0.47808223474105205,Elementary/middle,About expected
Birdville ISD,10230,2020-2024,Texas,79643.0,3395.0,BIRDVILLE ISD,220902,Spring 2026,19550.0,14025.0,71.73913043478261,71.29596664677291,0.4431637880096986,Elementary/middle,About expected
Lone Oak ISD,28020,2020-2024,Texas,102557.0,28530.0,LONE OAK ISD,116906,Spring 2026,1052.0,802.0,76.23574144486692,75.7934407708234,0.4423006740435227,Elementary/middle,About expected
La Joya ISD,26130,2020-2024,Texas,46719.0,3503.0,LA JOYA ISD,108912,Spring 2026,18466.0,12053.0,65.27130943355355,64.83376720275447,0.4375422307990817,Elementary/middle,About expected
Burkburnett ISD,12120,2020-2024,Texas,81172.0,10068.0,BURKBURNETT ISD,243901,Spring 2026,3000.0,2160.0,72.0,71.59607304180098,0.4039269581990226,Elementary/middle,About expected
Salado ISD,38580,2020-2024,Texas,114190.0,18097.0,SALADO ISD,014908,Spring 2026,2455.0,1926.0,78.4521384928717,78.07672245385908,0.3754160390126202,Elementary/middle,About expected
Valley Mills ISD,43760,2020-2024,Texas,71507.0,15290.0,VALLEY MILLS ISD,018904,Spring 2026,578.0,405.0,70.06920415224913,69.6990630300637,0.37014112218543005,Elementary/middle,About expected
Anson ISD,8400,2020-2024,Texas,53750.0,9268.0,ANSON ISD,127901,Spring 2026,625.0,416.0,66.56,66.21378555686981,0.34621444313019367,Elementary/middle,About expected
Tyler ISD,43470,2020-2024,Texas,67521.0,3482.0,TYLER ISD,212905,Spring 2026,17361.0,12007.0,69.16076262888082,68.91670587467986,0.24405675420095463,Elementary/middle,About expected
Plano ISD,35100,2020-2024,Texas,105159.0,2320.0,PLANO ISD,043910,Spring 2026,39776.0,30439.0,76.52604585679806,76.30415158826162,0.22189426853644534,Elementary/middle,About expected
Merkel ISD,30340,2020-2024,Texas,63393.0,10144.0,MERKEL ISD,221904,Spring 2026,1051.0,718.0,68.31588962892484,68.1064774909808,0.20941213794404234,Elementary/middle,About expected
Hale Center ISD,22050,2020-2024,Texas,62257.0,12234.0,HALE CENTER ISD,095903,Spring 2026,501.0,341.0,68.06387225548902,67.88350766445896,0.18036459103005598,Elementary/middle,About expected
Melissa ISD,30120,2020-2024,Texas,138846.0,7879.0,MELISSA ISD,043908,Spring 2026,8405.0,6973.0,82.96252230814991,82.9161098154105,0.04641249273942094,Elementary/middle,About expected
Canutillo ISD,12780,2020-2024,Texas,81353.0,9999.0,CANUTILLO ISD,071907,Spring 2026,5258.0,3768.0,71.66222898440472,71.63159904409011,0.030629940314611304,Elementary/middle,About expected
Richardson ISD,37020,2020-2024,Texas,78676.0,2509.0,RICHARDSON ISD,057916,Spring 2026,31162.0,22151.0,71.08337077209421,71.10616750747131,-0.022796735377099253,Elementary/middle,About expected
Highland Park ISD (Potter County),35560,2020-2024,Texas,73125.0,17661.0,HIGHLAND PARK ISD,188903,Spring 2026,773.0,541.0,69.98706338939198,70.01663801185272,-0.029574622460742717,Elementary/middle,About expected
Lexington ISD,27330,2020-2024,Texas,89943.0,16720.0,LEXINGTON ISD,144902,Spring 2026,967.0,708.0,73.2161323681489,73.31761208090576,-0.10147971275685563,Elementary/middle,About expected
Godley ISD,20960,2020-2024,Texas,92786.0,13470.0,GODLEY ISD,126911,Spring 2026,3274.0,2414.0,73.73243738546121,73.87562547597757,-0.14318809051636094,Elementary/middle,About expected
Burleson ISD,12180,2020-2024,Texas,95274.0,6468.0,BURLESON ISD,126902,Spring 2026,12026.0,8925.0,74.21420256111759,74.36396080026131,-0.149758239143722,Elementary/middle,About expected
Gatesville ISD,20500,2020-2024,Texas,70998.0,5747.0,GATESVILLE ISD,050902,Spring 2026,2442.0,1695.0,69.4103194103194,69.59915841589151,-0.1888390055721061,Elementary/middle,About expected
Magnolia ISD,28740,2020-2024,Texas,107283.0,8534.0,MAGNOLIA ISD,170906,Spring 2026,14548.0,11125.0,76.47099257629915,76.72104235545562,-0.25004977915646975,Elementary/middle,About expected
Como-Pickton CISD,14880,2020-2024,Texas,68098.0,19226.0,COMO-PICKTON CISD,112908,Spring 2026,688.0,473.0,68.75,69.02995727424245,-0.27995727424244876,Elementary/middle,About expected
Mathis ISD,29400,2020-2024,Texas,45367.0,10514.0,MATHIS ISD,205904,Spring 2026,1332.0,856.0,64.26426426426426,64.56840170499257,-0.3041374407283115,Elementary/middle,About expected
Sanford-Fritch ISD,39150,2020-2024,Texas,79808.0,15282.0,SANFORD-FRITCH ISD,117903,Spring 2026,695.0,493.0,70.93525179856115,71.32835222897018,-0.3931004304090209,Elementary/middle,About expected
Argyle ISD,8670,2020-2024,Texas,180095.0,14742.0,ARGYLE ISD,061910,Spring 2026,6605.0,5982.0,90.56775170325513,91.01230908847319,-0.44455738521806154,Elementary/middle,About expected
Cooper ISD,15150,2020-2024,Texas,63861.0,9170.0,COOPER ISD,060902,Spring 2026,824.0,558.0,67.71844660194175,68.1983347786676,-0.4798881767258507,Elementary/middle,About expected
Forsan ISD,19620,2020-2024,Texas,91508.0,13939.0,FORSAN ISD,114904,Spring 2026,729.0,533.0,73.11385459533608,73.6247844211405,-0.5109298258044248,Elementary/middle,About expected
Rice ISD,36960,2020-2024,Texas,69712.0,22017.0,RICE ISD,175911,Spring 2026,1062.0,731.0,68.83239171374764,69.34674715100851,-0.5143554372608747,Elementary/middle,About expected
New Braunfels ISD,32370,2020-2024,Texas,98942.0,6666.0,NEW BRAUNFELS ISD,046901,Spring 2026,9640.0,7188.0,74.5643153526971,75.0839021063195,-0.5195867536224057,Elementary/middle,About expected
Weatherford ISD,44800,2020-2024,Texas,82141.0,9304.0,WEATHERFORD ISD,184903,Spring 2026,7862.0,5598.0,71.20325616891377,71.78626473361406,-0.5830085647002932,Elementary/middle,About expected
Mildred ISD,30720,2020-2024,Texas,88115.0,13068.0,MILDRED ISD,175910,Spring 2026,867.0,627.0,72.31833910034602,72.95881908541111,-0.6404799850650846,Elementary/middle,About expected
Midlothian ISD,30600,2020-2024,Texas,131167.0,8483.0,MIDLOTHIAN ISD,070908,Spring 2026,11057.0,8929.0,80.75427331102469,81.40890444757494,-0.6546311365502504,Elementary/middle,About expected
Mansfield ISD,28920,2020-2024,Texas,113158.0,3716.0,MANSFIELD ISD,220908,Spring 2026,32349.0,24964.0,77.17085535874371,77.87416535793432,-0.7033099991906084,Elementary/middle,About expected
Colorado ISD,14640,2020-2024,Texas,68934.0,14008.0,COLORADO ISD,168901,Spring 2026,825.0,565.0,68.48484848484848,69.19404422404196,-0.7091957391934756,Elementary/middle,About expected
Lumberton ISD,13530,2020-2024,Texas,98812.0,9473.0,LUMBERTON ISD,100907,Spring 2026,3933.0,2923.0,74.31985761505211,75.05838619307316,-0.7385285780210467,Elementary/middle,About expected
Farmersville ISD,19080,2020-2024,Texas,90154.0,16207.0,FARMERSVILLE ISD,043904,Spring 2026,2351.0,1707.0,72.60740110591237,73.35902637086711,-0.7516252649547397,Elementary/middle,About expected
Eanes ISD,17760,2020-2024,Texas,195329.0,13185.0,EANES ISD,227909,Spring 2026,6849.0,6386.0,93.2398890348956,94.0023815684324,-0.7624925335368005,Elementary/middle,About expected
Brazosport ISD,11190,2020-2024,Texas,80703.0,5263.0,BRAZOSPORT ISD,020905,Spring 2026,9625.0,6808.0,70.73246753246754,71.50401947785842,-0.7715519453908826,Elementary/middle,About expected
"Northside ISD (Bandera, Bexar, and Medina Counties)",33120,2020-2024,Texas,80406.0,1191.0,NORTHSIDE ISD,015915,Spring 2026,86762.0,61317.0,70.67264470620779,71.44572542990333,-0.7730807236955428,Elementary/middle,About expected
Marion ISD,29100,2020-2024,Texas,84853.0,11833.0,MARION ISD,094904,Spring 2026,1726.0,1233.0,71.43684820393975,72.3185659391838,-0.8817177352440524,Elementary/middle,About expected
Garland ISD,20340,2020-2024,Texas,82979.0,2461.0,GARLAND ISD,057909,Spring 2026,43683.0,31045.0,71.06883684728614,71.95074423592506,-0.8819073886389219,Elementary/middle,About expected
Chapel Hill ISD (Titus County),13680,2020-2024,Texas,107895.0,28910.0,CHAPEL HILL ISD,225906,Spring 2026,919.0,698.0,75.95212187159956,76.84116342396915,-0.8890415523695907,Elementary/middle,About expected
Dripping Springs ISD,8,2020-2024,Texas,169874.0,15997.0,DRIPPING SPRINGS ISD,105904,Spring 2026,8485.0,7473.0,88.07307012374778,89.00616947854388,-0.9330993547960986,Elementary/middle,About expected
Andrews ISD,8280,2020-2024,Texas,72242.0,9282.0,ANDREWS ISD,002901,Spring 2026,4066.0,2801.0,68.88834235120511,69.84332607803337,-0.9549837268282602,Elementary/middle,About expected
Tornillo ISD,42990,2020-2024,Texas,42234.0,9137.0,TORNILLO ISD,071908,Spring 2026,624.0,393.0,62.980769230769226,63.953468195755846,-0.9726989649866198,Elementary/middle,About expected
Trenton ISD,43140,2020-2024,Texas,94063.0,14027.0,TRENTON ISD,074912,Spring 2026,758.0,554.0,73.08707124010554,74.1262702545589,-1.0391990144533594,Elementary/middle,About expected
Peaster ISD,34500,2020-2024,Texas,118199.0,18763.0,PEASTER ISD,184908,Spring 2026,1778.0,1383.0,77.78402699662543,78.86359396312496,-1.0795669664995273,Elementary/middle,About expected
Rockdale ISD,37590,2020-2024,Texas,69555.0,12273.0,ROCKDALE ISD,166904,Spring 2026,1338.0,912.0,68.16143497757847,69.31593177885716,-1.1544968012786967,Elementary/middle,About expected
Angleton ISD,8310,2020-2024,Texas,86569.0,9989.0,ANGLETON ISD,020902,Spring 2026,6485.0,4634.0,71.45720894371627,72.65537599403544,-1.1981670503191708,Elementary/middle,About expected
Poolville ISD,35340,2020-2024,Texas,66548.0,1761.0,POOLVILLE ISD,184901,Spring 2026,779.0,526.0,67.52246469833119,68.72572907784381,-1.2032643795126177,Elementary/middle,About expected
Columbus ISD,14700,2020-2024,Texas,69875.0,17972.0,COLUMBUS ISD,045902,Spring 2026,1397.0,952.0,68.14602720114532,69.3787401806943,-1.2327129795489782,Elementary/middle,About expected
Jim Hogg County ISD,24750,2020-2024,Texas,42211.0,3821.0,JIM HOGG COUNTY ISD,124901,Spring 2026,900.0,564.0,62.66666666666667,63.9489538418738,-1.2822871752071308,Elementary/middle,About expected
Leander ISD,27030,2020-2024,Texas,133971.0,3764.0,LEANDER ISD,246913,Spring 2026,38572.0,31085.0,80.58954682152857,81.95926306867285,-1.3697162471442823,Elementary/middle,About expected
Decatur ISD,16500,2020-2024,Texas,94259.0,4907.0,DECATUR ISD,249905,Spring 2026,3579.0,2605.0,72.78569432802459,74.16474040068414,-1.3790460726595484,Elementary/middle,About expected
Boyd ISD,11010,2020-2024,Texas,73988.0,16846.0,BOYD ISD,249902,Spring 2026,1358.0,934.0,68.77761413843888,70.18602442055725,-1.4084102821183677,Elementary/middle,About expected
Chico ISD,13800,2020-2024,Texas,87253.0,8827.0,CHICO ISD,249904,Spring 2026,527.0,376.0,71.34724857685009,72.78962895296232,-1.4423803761122258,Elementary/middle,About expected
Millsap ISD,30870,2020-2024,Texas,106628.0,23955.0,MILLSAP ISD,184904,Spring 2026,1072.0,805.0,75.09328358208955,76.59248140794523,-1.4991978258556742,Elementary/middle,About expected
Roosevelt ISD,37800,2020-2024,Texas,60250.0,11947.0,ROOSEVELT ISD,152908,Spring 2026,1070.0,706.0,65.98130841121495,67.48958121918666,-1.5082728079717072,Elementary/middle,About expected
Sunnyvale ISD,41880,2020-2024,Texas,170348.0,12486.0,SUNNYVALE ISD,057919,Spring 2026,2183.0,1911.0,87.54008245533669,89.09920442376514,-1.5591219684284567,Elementary/middle,About expected
Warren ISD,44580,2020-2024,Texas,57083.0,14263.0,WARREN ISD,229904,Spring 2026,1126.0,735.0,65.2753108348135,66.86797431725475,-1.592663482441253,Elementary/middle,About expected
La Feria ISD,26040,2020-2024,Texas,49870.0,6407.0,LA FERIA ISD,031905,Spring 2026,2396.0,1530.0,63.856427378964945,65.45223368459453,-1.595806305629587,Elementary/middle,About expected
Bandera ISD,9360,2020-2024,Texas,75021.0,7414.0,BANDERA ISD,010902,Spring 2026,2089.0,1437.0,68.78889420775491,70.38877779273776,-1.599883584982848,Elementary/middle,About expected
Pasadena ISD,34320,2020-2024,Texas,63162.0,2316.0,PASADENA ISD,101917,Spring 2026,38718.0,25731.0,66.45746164574616,68.0611376759046,-1.6036760301584394,Elementary/middle,About expected
Monte Alto ISD,31230,2020-2024,Texas,40318.0,15878.0,MONTE ALTO ISD,108915,Spring 2026,710.0,440.0,61.97183098591549,63.57740288975599,-1.6055719038404987,Elementary/middle,About expected
Kenedy ISD,25440,2020-2024,Texas,61250.0,23967.0,KENEDY ISD,128902,Spring 2026,707.0,467.0,66.05374823196605,67.68585747492772,-1.6321092429616613,Elementary/middle,About expected
Granbury ISD,21390,2020-2024,Texas,88608.0,6507.0,GRANBURY ISD,111901,Spring 2026,7578.0,5412.0,71.41726049089469,73.05558327949146,-1.638322788596767,Elementary/middle,About expected
Sonora ISD,40800,2020-2024,Texas,78906.0,19411.0,SONORA ISD,218901,Spring 2026,613.0,426.0,69.49429037520392,71.15131104629175,-1.6570206710878352,Elementary/middle,About expected
Lewisville ISD,27300,2020-2024,Texas,113996.0,2660.0,LEWISVILLE ISD,061902,Spring 2026,42073.0,32130.0,76.36726641789271,78.03864486024531,-1.671378442352605,Elementary/middle,About expected
Kaufman ISD,25200,2020-2024,Texas,74438.0,16313.0,KAUFMAN ISD,129903,Spring 2026,3998.0,2741.0,68.55927963981992,70.27434873564073,-1.7150690958208088,Elementary/middle,About expected
Carlisle ISD,12870,2020-2024,Texas,54858.0,13322.0,CARLISLE ISD,201913,Spring 2026,592.0,383.0,64.69594594594594,66.4312596482309,-1.7353137022849694,Elementary/middle,About expected
Keller ISD,25260,2020-2024,Texas,122192.0,5501.0,KELLER ISD,220907,Spring 2026,27358.0,21309.0,77.88946560421084,79.64732505229898,-1.7578594480881407,Elementary/middle,About expected
Refugio ISD,36780,2020-2024,Texas,52727.0,20099.0,REFUGIO ISD,196903,Spring 2026,579.0,372.0,64.24870466321244,66.01299494724671,-1.7642902840342742,Elementary/middle,About expected
Groesbeck ISD,21810,2020-2024,Texas,61788.0,4016.0,GROESBECK ISD,147902,Spring 2026,1347.0,889.0,65.9985152190052,67.7914541005164,-1.7929388815112048,Elementary/middle,About expected
North Lamar ISD,33010,2020-2024,Texas,81750.0,12935.0,NORTH LAMAR ISD,139911,Spring 2026,2273.0,1588.0,69.86361636603607,71.70952071761931,-1.8459043515832434,Elementary/middle,About expected
Blanco ISD,10320,2020-2024,Texas,101591.0,14256.0,BLANCO ISD,016902,Spring 2026,1009.0,744.0,73.73637264618435,75.60383790777755,-1.8674652615931961,Elementary/middle,About expected
Big Spring ISD,10200,2020-2024,Texas,68718.0,4133.0,BIG SPRING ISD,114901,Spring 2026,2668.0,1795.0,67.27886056971514,69.1516485528019,-1.8727879830867664,Elementary/middle,About expected
Paris ISD,34290,2020-2024,Texas,46246.0,4128.0,PARIS ISD,139909,Spring 2026,3476.0,2185.0,62.85960874568469,64.74092853378895,-1.881319788104257,Elementary/middle,About expected
San Marcos CISD,38970,2020-2024,Texas,51780.0,2288.0,SAN MARCOS CISD,105902,Spring 2026,7419.0,4744.0,63.943927753066454,65.82712133305994,-1.8831935799934811,Elementary/middle,About expected
Waskom ISD,44670,2020-2024,Texas,63054.0,8164.0,WASKOM ISD,102903,Spring 2026,703.0,465.0,66.14509246088194,68.03993984028457,-1.8948473794026341,Elementary/middle,About expected
Palacios ISD,34020,2020-2024,Texas,64922.0,7479.0,PALACIOS ISD,158905,Spring 2026,1059.0,704.0,66.47780925401322,68.40658388600886,-1.928774631995637,Elementary/middle,About expected
Fairfield ISD,18940,2020-2024,Texas,59727.0,7759.0,FAIRFIELD ISD,081902,Spring 2026,1554.0,1016.0,65.37966537966537,67.38692873743409,-2.0072633577687213,Elementary/middle,About expected
Bridge City ISD,11310,2020-2024,Texas,93152.0,11363.0,BRIDGE CITY ISD,181901,Spring 2026,2959.0,2128.0,71.91618790131801,73.94746258557879,-2.0312746842607794,Elementary/middle,About expected
Wichita Falls ISD,45780,2020-2024,Texas,58684.0,2996.0,WICHITA FALLS ISD,243905,Spring 2026,11061.0,7198.0,65.07549046198355,67.18221260269617,-2.1067221407126198,Elementary/middle,About expected
Prosper ISD,36000,2020-2024,Texas,174840.0,7313.0,PROSPER ISD,043912,Spring 2026,33282.0,29244.0,87.86731566612583,89.98087736455395,-2.1135616984281143,Elementary/middle,About expected
Carrizo Springs CISD,12990,2020-2024,Texas,38808.0,8956.0,CARRIZO SPRINGS CISD,064903,Spring 2026,1713.0,1046.0,61.06246351430239,63.281025743586994,-2.2185622292846077,Elementary/middle,About expected
Giddings ISD,20640,2020-2024,Texas,72518.0,15025.0,GIDDINGS ISD,144901,Spring 2026,1685.0,1140.0,67.65578635014838,69.8974983246179,-2.241711974469524,Elementary/middle,About expected
Sanger ISD,39180,2020-2024,Texas,99490.0,12636.0,SANGER ISD,061908,Spring 2026,2827.0,2062.0,72.9395118500177,75.19146149446559,-2.2519496444478904,Elementary/middle,About expected
Borger ISD,10890,2020-2024,Texas,65614.0,9997.0,BORGER ISD,117901,Spring 2026,2009.0,1331.0,66.25186660029865,68.54240705498167,-2.2905404546830113,Elementary/middle,About expected
Point Isabel ISD,35250,2020-2024,Texas,62596.0,4846.0,POINT ISABEL ISD,031909,Spring 2026,1511.0,992.0,65.65188616810059,67.95004531515517,-2.2981591470545766,Elementary/middle,About expected
Killeen ISD,25660,2020-2024,Texas,64887.0,2567.0,KILLEEN ISD,014906,Spring 2026,37040.0,24478.0,66.08531317494601,68.39971421705792,-2.3144010421119106,Elementary/middle,About expected
Floresville ISD,19350,2020-2024,Texas,89880.0,7094.0,FLORESVILLE ISD,247901,Spring 2026,3660.0,2596.0,70.92896174863388,73.30524667679407,-2.3762849281601888,Elementary/middle,About expected
Cushing ISD,16080,2020-2024,Texas,66532.0,9617.0,CUSHING ISD,174902,Spring 2026,520.0,345.0,66.34615384615384,68.72258865775196,-2.3764348115981164,Elementary/middle,About expected
Italy ISD,24450,2020-2024,Texas,65119.0,25299.0,ITALY ISD,070907,Spring 2026,554.0,366.0,66.06498194945848,68.44525030838984,-2.3802683589313602,Elementary/middle,About expected
Alpine ISD,7950,2020-2024,Texas,66613.0,14693.0,ALPINE ISD,022901,Spring 2026,813.0,539.0,66.29766297662977,68.73848703446698,-2.4408240578372187,Elementary/middle,About expected
Ore City ISD,33840,2020-2024,Texas,67388.0,17071.0,ORE CITY ISD,230903,Spring 2026,751.0,499.0,66.44474034620505,68.8906011326663,-2.445860786461253,Elementary/middle,About expected
Stafford MSD,41350,2020-2024,Texas,84545.0,11868.0,STAFFORD MSD,079910,Spring 2026,3252.0,2269.0,69.77244772447725,72.25811285241555,-2.4856651279383044,Elementary/middle,About expected
Harts Bluff ISD,22710,2020-2024,Texas,66471.0,21974.0,HARTS BLUFF ISD,225907,Spring 2026,864.0,572.0,66.20370370370371,68.71061580615175,-2.506912102448041,Elementary/middle,About expected
Latexo ISD,26910,2020-2024,Texas,78672.0,26292.0,LATEXO ISD,113905,Spring 2026,519.0,356.0,68.59344894026975,71.10538240244834,-2.5119334621785896,Elementary/middle,About expected
West Rusk County CISD,45150,2020-2024,Texas,55094.0,8309.0,WEST RUSK COUNTY CONSOLIDATED ISD,201914,Spring 2026,904.0,578.0,63.93805309734514,66.47758084458579,-2.5395277472406477,Elementary/middle,About expected
