district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
SUNNYVALE ISD,057919,Spring 2026,2183.0,1911.0,87.54008245533669
SUNRAY COLLEGIATE ISD,171902,Spring 2026,484.0,384.0,79.33884297520662
SWEENY ISD,020906,Spring 2026,1608.0,1150.0,71.51741293532339
SWEET HOME ISD,143905,Spring 2026,189.0,151.0,79.8941798941799
SWEETWATER ISD,177902,Spring 2026,1450.0,864.0,59.586206896551715
TAFT ISD,205907,Spring 2026,711.0,414.0,58.22784810126582
TAHOKA ISD,153904,Spring 2026,562.0,432.0,76.86832740213522
TARKINGTON ISD,146907,Spring 2026,1786.0,1068.0,59.79843225083986
TATUM ISD,201910,Spring 2026,1254.0,969.0,77.27272727272727
TAYLOR ISD,246911,Spring 2026,2417.0,1510.0,62.47414149772445
TEAGUE ISD,081904,Spring 2026,1094.0,850.0,77.6965265082267
TEMPLE ISD,014909,Spring 2026,7853.0,4951.0,63.04596969311091
TENAHA ISD,210904,Spring 2026,328.0,220.0,67.07317073170732
TERLINGUA CSD,022004,Spring 2026,116.0,37.0,31.896551724137932
TERRELL COUNTY ISD,222901,Spring 2026,103.0,66.0,64.07766990291263
TERRELL ISD,129906,Spring 2026,4757.0,2725.0,57.28400252259828
TEXARKANA ISD,019907,Spring 2026,9254.0,4972.0,53.7281175707802
TEXAS CITY ISD,084906,Spring 2026,6723.0,4200.0,62.472110664881754
TEXHOMA ISD,211901,Spring 2026,66.0,61.0,92.42424242424242
TEXLINE ISD,056902,Spring 2026,214.0,182.0,85.04672897196261
THORNDALE ISD,166905,Spring 2026,646.0,522.0,80.80495356037152
THRALL ISD,246912,Spring 2026,881.0,771.0,87.51418842224744
THREE RIVERS ISD,149902,Spring 2026,490.0,316.0,64.48979591836735
THREE WAY ISD,072901,Spring 2026,164.0,115.0,70.1219512195122
THROCKMORTON COLLEGIATE ISD,224901,Spring 2026,117.0,86.0,73.50427350427351
TIDEHAVEN ISD,158902,Spring 2026,935.0,821.0,87.80748663101605
TIMPSON ISD,210905,Spring 2026,678.0,541.0,79.79351032448378
TIOGA ISD,091907,Spring 2026,518.0,389.0,75.0965250965251
TOLAR ISD,111903,Spring 2026,851.0,717.0,84.25381903642773
TOM BEAN ISD,091918,Spring 2026,749.0,516.0,68.89185580774367
TOMBALL ISD,101921,Spring 2026,22741.0,19928.0,87.63027131612506
TORNILLO ISD,071908,Spring 2026,624.0,393.0,62.980769230769226
TRENT ISD,221905,Spring 2026,112.0,71.0,63.39285714285714
TRENTON ISD,074912,Spring 2026,758.0,554.0,73.08707124010554
TRINIDAD ISD,107907,Spring 2026,190.0,93.0,48.94736842105264
TRINITY ISD,228903,Spring 2026,1020.0,477.0,46.76470588235294
TROUP ISD,212904,Spring 2026,1026.0,801.0,78.0701754385965
TROY ISD,014910,Spring 2026,1656.0,1238.0,74.7584541062802
