gisjoin,year,state,district,district_code,median_household_income,income_moe
G48011850,2020-2024,Texas,Buckholts ISD,11850,55208.0,17337.0
G48011910,2020-2024,Texas,Buena Vista ISD,11910,76250.0,30004.0
G48011990,2020-2024,Texas,Buffalo ISD,11990,46944.0,8666.0
G48012060,2020-2024,Texas,Bullard ISD,12060,91949.0,13990.0
G48012090,2020-2024,Texas,Buna ISD,12090,55048.0,27372.0
G48012120,2020-2024,Texas,Burkburnett ISD,12120,81172.0,10068.0
G48012150,2020-2024,Texas,Burkeville ISD,12150,42381.0,25372.0
G48012180,2020-2024,Texas,Burleson ISD,12180,95274.0,6468.0
G48012220,2020-2024,Texas,Burnet CISD,12220,79893.0,6528.0
G48012240,2020-2024,Texas,Burton ISD,12240,101392.0,17888.0
G48035570,2020-2024,Texas,Bushland ISD,35570,114535.0,12663.0
G48012360,2020-2024,Texas,Bynum ISD,12360,85250.0,24459.0
G48012390,2020-2024,Texas,Caddo Mills ISD,12390,107083.0,13870.0
G48012420,2020-2024,Texas,Calallen ISD,12420,83444.0,10250.0
G48012460,2020-2024,Texas,Caldwell ISD,12460,69147.0,10079.0
G48012480,2020-2024,Texas,Calhoun County ISD,12480,79959.0,8800.0
G48012510,2020-2024,Texas,Callisburg ISD,12510,110189.0,21571.0
G48012540,2020-2024,Texas,Calvert ISD,12540,56726.0,23612.0
G48012640,2020-2024,Texas,Cameron ISD,12640,64127.0,8610.0
G48012660,2020-2024,Texas,Campbell ISD,12660,59846.0,7897.0
G48012700,2020-2024,Texas,Canadian ISD,12700,61648.0,22191.0
G48012750,2020-2024,Texas,Canton ISD,12750,65671.0,11665.0
G48012780,2020-2024,Texas,Canutillo ISD,12780,81353.0,9999.0
G48012810,2020-2024,Texas,Canyon ISD,12810,94955.0,3167.0
G48012870,2020-2024,Texas,Carlisle ISD,12870,54858.0,13322.0
G48012990,2020-2024,Texas,Carrizo Springs CISD,12990,38808.0,8956.0
G48013020,2020-2024,Texas,Carroll ISD,13020,250001.0,
G48013050,2020-2024,Texas,Carrollton-Farmers Branch ISD,13050,87139.0,2698.0
G48013110,2020-2024,Texas,Carthage ISD,13110,63860.0,13270.0
G48013170,2020-2024,Texas,Castleberry ISD,13170,61935.0,4622.0
G48013200,2020-2024,Texas,Cayuga ISD,13200,73966.0,10601.0
G48013230,2020-2024,Texas,Cedar Hill ISD,13230,99737.0,7236.0
G48013260,2020-2024,Texas,Celeste ISD,13260,77132.0,10214.0
G48013290,2020-2024,Texas,Celina ISD,13290,156852.0,19956.0
G48013320,2020-2024,Texas,Center ISD,13320,51453.0,6111.0
G48013350,2020-2024,Texas,Center Point ISD,13350,81892.0,18390.0
G48013410,2020-2024,Texas,Centerville ISD (Leon County),13410,72083.0,9527.0
G48013380,2020-2024,Texas,Centerville ISD (Trinity County),13380,76771.0,17234.0
G48013440,2020-2024,Texas,Central Heights ISD,13440,63283.0,10030.0
G48013500,2020-2024,Texas,Central ISD,13500,82534.0,16849.0
