district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
WINK-LOVING ISD,248902,Spring 2026,152,137.0,90.13157894736842
WINNSBORO ISD,250907,Spring 2026,592,478.0,80.74324324324324
WINONA ISD,212910,Spring 2026,417,342.0,82.01438848920863
WINTERS ISD,200904,Spring 2026,151,125.0,82.78145695364239
WODEN ISD,174906,Spring 2026,280,250.0,89.28571428571429
WOLFE CITY ISD,116909,Spring 2026,273,253.0,92.67399267399267
WOODSBORO ISD,196902,Spring 2026,179,137.0,76.53631284916202
WOODSON ISD,224902,Spring 2026,58,54.0,93.10344827586206
WOODVILLE ISD,229903,Spring 2026,472,344.0,72.88135593220339
WORTHAM ISD,081905,Spring 2026,197,170.0,86.29441624365482
WYLIE ISD,043914,Spring 2026,7777,7250.0,93.22360807509322
WYLIE ISD,221912,Spring 2026,2136,1976.0,92.50936329588015
YANTIS ISD,250905,Spring 2026,92,82.0,89.13043478260869
YOAKUM ISD,062903,Spring 2026,507,432.0,85.20710059171599
YORKTOWN ISD,062904,Spring 2026,223,175.0,78.47533632286996
YSLETA ISD,071905,Spring 2026,14222,12213.0,85.87399803121923
ZAPATA COUNTY ISD,253901,Spring 2026,286,111.0,38.81118881118881
ZAVALLA ISD,003906,Spring 2026,116,102.0,87.93103448275862
ZEPHYR ISD,025906,Spring 2026,72,65.0,90.27777777777779
