district,tea_district_id,administration,tests_taken,approaches_count,approaches_pct
TYLER ISD,212905,Spring 2026,24614.0,17820.0,72.39782237750873
UNION GROVE ISD,230908,Spring 2026,957.0,809.0,84.5350052246604
UNION HILL ISD,230904,Spring 2026,312.0,213.0,68.26923076923077
UNITED ISD,240903,Spring 2026,45167.0,35016.0,77.52562711714305
UTOPIA ISD,232904,Spring 2026,218.0,187.0,85.77981651376146
UVALDE CISD,232903,Spring 2026,4705.0,2549.0,54.17640807651435
VALENTINE ISD,122902,Spring 2026,38.0,0.0,0.0
VALLEY MILLS ISD,018904,Spring 2026,846.0,642.0,75.88652482269504
VALLEY VIEW ISD,049903,Spring 2026,1233.0,841.0,68.20762368207623
VALLEY VIEW ISD,108916,Spring 2026,4250.0,3303.0,77.71764705882353
VAN ALSTYNE ISD,091908,Spring 2026,3908.0,3247.0,83.08597748208803
VAN ISD,234906,Spring 2026,2911.0,2191.0,75.2662315355548
VAN VLECK ISD,158906,Spring 2026,1395.0,1000.0,71.68458781362007
VEGA ISD,180902,Spring 2026,499.0,459.0,91.98396793587175
VENUS ISD,126908,Spring 2026,3096.0,1953.0,63.08139534883721
VERIBEST ISD,226908,Spring 2026,316.0,270.0,85.44303797468355
VERNON ISD,244903,Spring 2026,2335.0,1500.0,64.23982869379014
VICTORIA ISD,235902,Spring 2026,16404.0,11043.0,67.31894659839064
VIDOR ISD,181907,Spring 2026,5488.0,3885.0,70.79081632653062
VYSEHRAD ISD,143904,Spring 2026,39.0,0.0,0.0
WACO ISD,161914,Spring 2026,16713.0,8838.0,52.88099084544965
WAELDER ISD,089905,Spring 2026,313.0,189.0,60.383386581469644
WALCOTT ISD,059902,Spring 2026,150.0,129.0,86.0
WALL ISD,226906,Spring 2026,1868.0,1722.0,92.18415417558886
WALLER ISD,237904,Spring 2026,14540.0,10479.0,72.07015130674003
WALNUT BEND ISD,049908,Spring 2026,58.0,34.0,58.620689655172406
WALNUT SPRINGS ISD,018905,Spring 2026,199.0,128.0,64.321608040201
WARREN ISD,229904,Spring 2026,1542.0,1063.0,68.93644617380026
WASKOM ISD,102903,Spring 2026,1068.0,754.0,70.59925093632958
WATER VALLEY ISD,226905,Spring 2026,435.0,356.0,81.83908045977012
WAXAHACHIE ISD,070912,Spring 2026,15431.0,11394.0,73.83837729246322
WEATHERFORD ISD,184903,Spring 2026,11059.0,8218.0,74.31051632154806
WEBB CISD,240904,Spring 2026,239.0,153.0,64.01673640167364
WEIMAR ISD,045905,Spring 2026,941.0,813.0,86.39744952178533
WELLINGTON ISD,044902,Spring 2026,647.0,574.0,88.71715610510046
WELLMAN-UNION CISD,223904,Spring 2026,345.0,265.0,76.81159420289855
WELLS ISD,037909,Spring 2026,314.0,221.0,70.38216560509554
WESLACO ISD,108913,Spring 2026,20449.0,15144.0,74.05741112034818
WEST HARDIN COUNTY CISD,100908,Spring 2026,688.0,499.0,72.52906976744185
WEST ISD,161916,Spring 2026,1711.0,1466.0,85.68088836937463
WEST ORANGE-COVE CISD,181906,Spring 2026,2977.0,1826.0,61.336916358750415
WEST OSO ISD,178915,Spring 2026,2246.0,1412.0,62.8673196794301
WEST RUSK COUNTY CONSOLIDATED ISD,201914,Spring 2026,1338.0,958.0,71.59940209267563
WEST SABINE ISD,202905,Spring 2026,805.0,555.0,68.94409937888199
WESTBROOK ISD,168903,Spring 2026,287.0,236.0,82.22996515679442
WESTHOFF ISD,062905,Spring 2026,144.0,116.0,80.55555555555556
WESTPHALIA ISD,073904,Spring 2026,188.0,178.0,94.68085106382979
WESTWOOD ISD,001908,Spring 2026,1737.0,1002.0,57.68566493955095
WHARTON ISD,241904,Spring 2026,2096.0,1156.0,55.152671755725194
WHEELER ISD,242903,Spring 2026,476.0,403.0,84.66386554621849
WHITE DEER ISD,033904,Spring 2026,404.0,333.0,82.42574257425743
WHITE OAK ISD,092908,Spring 2026,1899.0,1609.0,84.7288046340179
WHITE SETTLEMENT ISD,220920,Spring 2026,9448.0,6398.0,67.71803556308214
WHITEFACE CISD,040902,Spring 2026,359.0,296.0,82.45125348189416
WHITEHOUSE ISD,212906,Spring 2026,6564.0,5637.0,85.87751371115174
WHITESBORO ISD,091909,Spring 2026,2393.0,1850.0,77.30881738403677
WHITEWRIGHT ISD,091910,Spring 2026,1030.0,851.0,82.62135922330097
WHITHARRAL ISD,110908,Spring 2026,271.0,257.0,94.8339483394834
WHITNEY ISD,109911,Spring 2026,1859.0,1281.0,68.90801506186122
WICHITA FALLS ISD,243905,Spring 2026,15844.0,10843.0,68.43600100984601
WILDORADO ISD,180904,Spring 2026,230.0,192.0,83.47826086956522
WILLIS ISD,170904,Spring 2026,12969.0,9225.0,71.13115891741846
WILLS POINT ISD,234907,Spring 2026,3769.0,2486.0,65.95914035553197
WILSON ISD,153907,Spring 2026,157.0,97.0,61.78343949044586
WIMBERLEY ISD,105905,Spring 2026,3590.0,3017.0,84.03899721448468
WINDTHORST ISD,005904,Spring 2026,685.0,646.0,94.30656934306569
WINK-LOVING ISD,248902,Spring 2026,543.0,431.0,79.37384898710866
WINNSBORO ISD,250907,Spring 2026,1882.0,1407.0,74.76089266737513
WINONA ISD,212910,Spring 2026,1537.0,1021.0,66.42810670136629
WINTERS ISD,200904,Spring 2026,590.0,428.0,72.54237288135593
WODEN ISD,174906,Spring 2026,1104.0,904.0,81.88405797101449
WOLFE CITY ISD,116909,Spring 2026,950.0,745.0,78.42105263157895
WOODSBORO ISD,196902,Spring 2026,564.0,354.0,62.76595744680851
WOODSON ISD,224902,Spring 2026,196.0,146.0,74.48979591836735
WOODVILLE ISD,229903,Spring 2026,1529.0,1008.0,65.92544146500981
WORTHAM ISD,081905,Spring 2026,703.0,489.0,69.55903271692745
WYLIE ISD,043914,Spring 2026,26846.0,23908.0,89.05609774268048
WYLIE ISD,221912,Spring 2026,7653.0,6692.0,87.44283287599634
YANTIS ISD,250905,Spring 2026,395.0,261.0,66.07594936708861
YOAKUM ISD,062903,Spring 2026,1659.0,1260.0,75.9493670886076
YORKTOWN ISD,062904,Spring 2026,743.0,569.0,76.58142664872139
YSLETA ISD,071905,Spring 2026,43546.0,34974.0,80.31506912230745
ZAPATA COUNTY ISD,253901,Spring 2026,3206.0,2060.0,64.25452276980661
ZAVALLA ISD,003906,Spring 2026,368.0,281.0,76.3586956521739
ZEPHYR ISD,025906,Spring 2026,289.0,207.0,71.62629757785467
